id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
6295305949361415060,204.23167,21.96172,SN,TNS,1,0.0141893062012087,0.123141,17.6,21.01418,19.98882,19.56705,19.34851,19.35734
23573356174745223352,247.77279,61.93011,SN,TNS,1,0.012338846914791,0.198703,18.1,22.57646,21.38715,20.90684,20.69518,20.27859
2976770955239675037,346.25254,28.76187,SN,TNS,0,0.0436856276826886,0,18.8,23.55931,25.11437,23.36139,24.19187,22.99781
40811253089842905121,178.87846,11.92397,SN,TNS,1,0.0845763591041435,0.034089,15.4,17.32913,15.52834,14.7448,14.37393,14.0938
48087067315866440592,171.44462,-8.82817,SN,TNS,1,0.0108243240075423,0.399755,18.6,24.58759,22.69956,22.35694,22.59936,21.71556
86910092537690819147,143.42312,30.67106,SN,TNS,1,0.0257247844628847,0.189523,19.0,22.76933,21.41964,20.92579,20.81933,20.64699
66095264793132970898,152.04737,51.84469,SN,TNS,0,0.0343997192961344,0,16.0,21.5629,21.16375,21.28909,21.49264,20.90872
82069015718030676719,42.57337,32.41108,SN,TNS,1,0.0136030593478057,-9999,17.2,22.32067,20.92026,20.18824,20.26012,19.79249
17474506314874622587,16.13975,-1.98387,SN,TNS,0,0.0560155117106038,0,17.9125,24.1797,23.91816,22.32292,20.76073,19.78746
91738480451651887086,13.99404,-9.62649,SN,TNS,1,0.0388121234550175,0.058765,18.62,18.35618,16.77497,16.04491,15.63988,15.33685
60584064400744586649,247.6695,44.50964,SN,TNS,0,0.0405658720324482,0,15.5,23.11688,22.00746,22.25288,22.27427,22.57314
25040270428088982624,119.14812,39.902,SN,TNS,1,0.0482092328159977,0.089327,18.2,20.38796,19.02352,18.53054,18.20861,18.10309
33164024282534553721,69.7835,11.531,SN,TNS,0,0.0343958561394366,0,18.4,22.56481,21.86523,21.0274,20.72745,20.71064
19476608156097294463,17.94542,7.36299,SN,TNS,1,0.0232335635282483,0.281954,19.09,21.74473,21.16334,20.75333,20.62212,20.38956
52995683765181102567,269.594,50.79278,SN,TNS,1,0.046318361637577,0.08989,16.4,20.20342,18.84593,18.25596,17.9623,17.81108
53635018295140678993,311.41462,-5.58661,SN,TNS,0,0.0305644328563845,0,16.6,24.5014,23.69836,21.89334,21.70319,22.00688
83169732847157140229,14.02746,14.34574,SN,TNS,1,0.0562760147727672,0.079699,19.08,18.58826,17.28807,16.67812,16.27393,16.04011
753222552833169525,45.85504,4.49442,SN,TNS,1,0.0758952781189226,0.679855,19.0,21.60033,20.77314,20.55395,20.609,20.46382
9968727652800688408,31.3055,6.10233,SN,TNS,1,0.00425879988779101,0.231744,17.3,18.10862,17.83435,17.85934,18.16401,18.11322
32748629063786814052,339.11442,21.61508,SN,TNS,0,0.096051541059102,0,18.2,21.06719,20.92479,21.59688,23.64542,22.8269
31221778071982000650,344.91462,2.14977,SN,TNS,1,0.0311838009649136,0.146348,17.75,21.75207,20.79738,20.40165,20.19031,20.37913
