id,label,ra,dec,mag,SDSS objid,SDSS type,SDSS offset,SDSS ra,SDSS dec,SDSS redshift,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS err_u,SDSS err_g,SDSS err_r,SDSS err_i,SDSS err_z,SDSS err_redshift
15023373216970061493,SN,163.26147480209,58.1361971552214,22.4026,1237658303279726849,3,0.0237390921892548,163.261874663418,58.136531793241,0.23335,20.58294,19.89436,19.30799,19.05429,18.78472,0.07544561,0.01919217,0.01672328,0.01864559,0.05648634,0.043375
54524411617520817976,SN,45.28133,0.35539,22.7,1237666301090267592,3,0.0242775259942764,45.2816744640517,0.355602298907517,0.35655,23.07113,22.45995,21.62644,21.5678,20.66173,0.7301578,0.1725173,0.1301575,0.1910987,0.3700196,0.098807
19161802716217866701,AGN,333.307782854863,0.503325639446309,21.9272,1237663479795614751,6,0.00138273291344106,333.307805197615,0.503319988138859,0,22.53623,22.2559,22.74416,22.10977,22.96622,0.4522713,0.1798033,0.3755928,0.360129,1.243577,0
36978509231118992758,SN,122.55708,33.95828,16.1,1237674365920739469,3,0.0939577299540129,122.557229957959,33.9567189854623,-9999,24.63466,22.21457,20.40482,20.79212,22.8269,1.070751,0.1298108,0.03589189,0.06206139,0.552775,-9999
85381085016087051172,AGN,167.56202609938205,36.62551221879273,18.5288,1237664819282116723,6,0.00287985339897383,167.561973865955,36.6254888419796,0,19.11658,19.8715,19.09753,18.80807,18.77554,0.02410296,0.0144408,0.01173311,0.01168297,0.03668467,0
19599292045935503834,SN,332.48329,12.08517,19.4,1237656241160323783,3,0.0780755965616256,332.483593598593,12.0864369435714,0.144345,23.02371,20.72276,19.8535,19.45499,19.07838,0.5645106,0.03754263,0.02571649,0.02970596,0.06889173,0.06242
80788076123041654050,SN,214.807085853748,54.1541440233832,22.9698,1237661387605147920,3,0.047141597223576,214.805776199901,54.1543146586866,0.215305,20.63147,19.62607,18.84663,18.47572,18.2618,0.1042186,0.02027401,0.01566519,0.01535539,0.04982992,0.033643
84492900185040126732,SN,55.17937,-6.41642,17.5,1237652900772053131,3,0.077544813726365,55.1791016113667,-6.41515540528772,0.018452,15.56536,14.13788,13.49382,13.15372,12.93924,0.01220068,0.002276567,0.002124227,0.00224389,0.005604856,0.007702
7094692964229797868,SN,146.13133,8.03411,21.4,1237660584441610931,3,0.11531044815242,146.130934864365,8.03599159252528,-9999,24.61908,22.66144,22.62074,22.36087,24.26524,1.231601,0.1770314,0.2751676,0.3634976,0.6299941,-9999
68071564335035234288,SN,209.20254,37.79211,15.5,1237664295298662465,6,0.092586953097407,209.204451713031,37.7917954379502,0,23.78377,23.37859,22.73286,23.59068,22.56826,0.4865884,0.1906998,0.1531762,0.3818877,0.4801732,0
70148660392027830823,SN,184.6953825953,47.6473804271781,21.8648,1237661357544309254,3,0.013228663024616,184.695648089702,47.647251512583,0.452864,22.54059,22.41353,21.55464,21.42569,21.09959,0.3565264,0.1345185,0.09386654,0.1295113,0.4173332,0.095726
42338246171008486959,SN,351.113030275009,-0.754228803955533,21.4966,1237663783119749449,3,0.0521190679938463,351.112525631722,-0.754935864145712,0.186718,20.79701,19.90011,19.25373,18.79311,18.68352,0.1185698,0.02771342,0.02386893,0.02350701,0.07050262,0.029713
95445615058843705149,SN,36.6075,0.81228,22.6,1237657587096093729,3,0.0232264038503585,36.6077750942366,0.812552378406174,0.635433,25.65681,24.22847,22.27228,21.01558,20.83274,0.5510892,0.4330299,0.1347228,0.06377701,0.1828262,0.047111
86607071904211881383,SN,355.05921,26.20328,16.7,1237680305331503690,3,0.0218681533101512,355.059069656514,26.202937974103,0.060121,19.32792,17.89717,17.38021,17.05507,16.84638,0.07581542,0.01004757,0.01231112,0.01370028,0.03973756,0.015897
