NNo,GCVS,J2000.0,Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
780804,V0804 Tau *,035324.96 +233751.0,UV,15.3,21,,U,,,,,,08794 10031,,,1973.3,?,B1.0,,V0804 Tau,
400585,V0585 Her,185723.71 +142959.5,M,16,21,,p,,,,,,03776 03776,,,1990.628,,GCVS,,V0585 Her,
592264,V2264 Oph,172020.94 -264626.3,NA,9.8,21,,V,,,,,,71148 71149,,,1991.29,,Lit.,,V2264 Oph,
10677,V0677 And,233423.09 +391423.4,UGSU,18.2,21,,V,,,,,pec(e),80610 80630,,,1995.626,,GSC2.3,UGSU,V0677 And,
51680,V1680 Aql,190214.48 +130303.2,NA,9.7,21,,V,46266,1985,,,,78259 78259,,,1987.412,,GSC2.2,N,V1680 Aql,
51722,V1722 Aql,191409.71 +151634.4,NA,9.96,21,,V,55183,2009,,,Pec(Nova),N0311,,,2009.95,,Lit.,N,V1722 Aql,
60258,KY    Ara *,180821.96 -545617.3,UG,15.8,21,,B,28715,,,,,N0008 76005,,,,,Lit.,UG,N,KY    Ara
80496,V0496 Aur,072752.20 +404655.5,UG,15.7,21,,R,,,,,pec(UG),75039 79229,,,,,Lit.,UG,V0496 Aur,
200350,V0350 Cep,214300.01 +661128.0,INT,17,21,,p,,,,,e(T),08381 08381,,,1999.742,,2MASS,,V0350 Cep,
200962,V0962 Cep,205423.75 +601706.9,NA,11,21,,V,56730,2014,,,pec(Nova),81197 81198,,0.000  0.000,2014.26,,Lit.,,V0962 Cep,
230127,DD    Cir,142323.45 -690845.3,NA,7.5,21,,V,,,,,,75292 75293,,,,,Lit.,,DD    Cir,
250179,FP    Com *,122719.19 +273600.3,UV,15.5,21,,p,,,,,,05378 2MASS,,-0.133,2000,,2MASS+pm,,FP    Com,
250215,HO    Com *,121931.   +251321. ,UV,16.2,21,,p,,,,,,8397,,,,,,,HO    Com,
250219,HS    Com *,122624.   +255324. ,UV,15.5,21,,p,,,,,,8397,,,,,,,HS    Com,
311278,V1278 Cyg,194257.34 +344458.5,M,14.8,21,,p,33175,,290,,,05353 05353,,,1992.644,,GCVS,,V1278 Cyg,
311279,V1279 Cyg,194314.19 +293314.4,M,16,21,,p,34630,,322,,M3-M8,05541 05541,,,1995.59,,GCVS,,V1279 Cyg,
311282,V1282 Cyg,194357.40 +402045.5,M,15.9,21,,p,33160,,270,,,05353 05353,,,1991.683,,GCVS,,V1282 Cyg,
311301,V1301 Cyg,200212.67 +373805.7,M,16.5,21,,p,34100,,485,,M,07749 07749,,,1989.491,,GCVS,,V1301 Cyg,
311500,V1500 Cyg *,211136.61 +480902.4,NA,1.69,21,,V,42655,1975,,,pec(Nova),09173 07464,,,1990.645,,GCVS,,V1500 Cyg,
311783,V1783 Cyg,203150.   +395213. ,UV,16.3,21,,U,,,,,,67300,,,,,,,V1783 Cyg,
340144,DV    Dra,181723.10 +504818.1,UG,15.3,21,,p,,,,,,68119 68119,,,1984.433,,GCVS,,DV    Dra,
340245,KL    Dra,192438.19 +594146.7,UG,16.8,21,,B,,,,,,75138,,,1998.587,,Lit.,,KL    Dra,
400631,V0631 Her,180844.0  +342734. ,UG,16.2,21,,p,,,-32,,,04184 05443,,,,,Lit.,,V0631 Her,
401010,V1010 Her,181414.31 +304337.0,UG,17.8,21,,B,,,,,,75145 75299,,,1998.762,,Lit.,,V1010 Her,
520374,V0374 Lyr,191915.01 +331446.4,M,15.5,21,,p,33490,,425,,,03677 03677,,,1955.382,,A2.0,,V0374 Lyr,
550686,V0686 Mon,072542.72 -030621.9,M,11.5,21,,p,,,,,,69197 69198,,,1986.197,,GSC2.2,,V0686 Mon,
591012,V1012 Oph,174134.54 -232333.1,N,14,21,,B,37410,1961,,,pec(Nova),04210 04210,,,1961.315,,Lit.,,V1012 Oph,
592295,V2295 Oph,172506.42 -231110.8,NA,9,21,,V,,,,,,72122,,,1993.294,,Lit.,,V2295 Oph,
592676,V2676 Oph,172607.02 -255142.6,NA,11.8,21,,V,56094,2012,,,pec(Nova),80642 80643,,,2012.239,,Lit..,,V2676 Oph,
592677,V2677 Oph,173957.00 -244707.2,NA,11.18,21,,V,56069,2012,,,pec(Nova),80644 80645,,,2012.39,,Lit..,,V2677 Oph,
592862,V2862 Oph *,165901.66 -151528.8,XND,16.1,21,,R,,,,,,81184,,0.000  0.000,2011.4,,GCVS,,V2862 Oph,
592949,V2949 Oph,173447.74 -240904.0,N,11.9,21,,V,57308,2015,,,pec(Nova),81316 81317,,,,,,,V2949 Oph,
620370,V0370 Peg,235439.15 +282254.1,UG,16.3,21,,R,,,,,,75208 75303,,,1993.645,,GCVS,,V0370 Peg,
630965,V0965 Per,031116.23 +370502.7,N,17.5,21,,*,55873,2011,,,pec(Nova),80608,,,2011.854,,Lit..,,V0965 Per,
724157,V4157 Sgr,180935.01 -255158.2,NA,7,21,,V,,,,,,71158 71159,,,1992.12,,Lit.,,V4157 Sgr,
724160,V4160 Sgr,181413.94 -321228.5,NA,7,21,,V,,,,,,71162,,,1991.576,,Lit.,,V4160 Sgr,
724368,V4368 Sgr,185440.32 -194159.8,NC,10,21,,V,,,,,,73291 73292,,,1998.418,,2MASS,,V4368 Sgr,
724444,V4444 Sgr,180736.20 -272013.2,NA,7.7,21,,V,,,,,,75225 75304,,,1999.407,,2MASS,,V4444 Sgr,
725584,V5584 Sgr,183132.79 -161907.8,NA,9.21,21,,V,55134,2009,2009,,pec(Nova),80225,,,2009.821,,Lit.,,V5584 Sgr,
731312,V1312 Sco,165509.46 -383804.5,NA,10.5,21,,V,55715,2011,,,pec(Nova),80428,,,,,,,V1312 Sco,
780701,V0701 Tau *,034401.97 +215707.4,UG,15,21,,p,,,,,,07484 07484,,,1990.8,,B1.0,,V0701 Tau,
800120,CT    Tri,023839.09 +355649.1,UGSU,14.34,21,,V,,,,,,80122 80122,,,1987.752,,GSC2.3,,CT    Tri,
830106,CE    UMa *,111611.   +292138. ,UG,15.5,21,,p,,,,,,5940,,,,,,,CE    UMa,
840015,RW    UMi,164754.82 +770212.3,NA,6,21,,p,35741,1956,,,pec(Nova),04204 04205,,,1996.533,,GSC2.2,,RW    UMi,
880269,LU    Vul *,194535.37 +283529.1,NA,9.2,21,,p,40057,1968,,,peq(Nova),05801 05801,,,1968.8,,Lit.,,LU    Vul,
880272,LX    Vul,204022.97 +240112.2,M,17,21,,p,,,,,,03776 03776,,,2000.335,,2MASS,,LX    Vul,
40330,QV    Aqr *,210449.94 +010545.8,UG,17.05,21,,g,,,,,pec(UG),80064 79229,,,2000,,Lit.,UG,QV    Aqr,
40334,QZ    Aqr *,213122.38 -003937.0,UGSU,14.1,21,,*,,,,,,80577 USNO,,,1989.712,,GSC2.3,UGSU,QZ    Aqr,
51378,V1378 Aql,191635.35 +034319.3,N,10,21,,p,46037,1984,,,,72118 79229,,,,,Lit.,N,V1378 Aql,
120155,EL    Cnc *,083611.   +200134. ,UV,17.9,21,,p,,,,,,70013,,,,,,UV,EL    Cnc,
120164,EU    Cnc *,085127.16 +114657.4,XM,20.4,21,,V,,,0.0871,,pec(e),71080 79229,,,,,GCVS,AM,EU    Cnc,
181180,V1180 Cas *,023301.53 +724327.0,INT,14.59,21,,Ic,,,,,K7-M0e,80430 80430,,-0.008,2000,,SDSS,TT,V1180 Cas,
190891,V0891 Cen,135029.18 -480248.1,NL,19,21,,p,,,,,pec(e),73015 73015,,,1979.283,,A2.0,CV,V0891 Cen,
311441,V1441 Cyg,194358.80 +372538.4,M,14.7,21,,p,32765,,320,,,06855 06855,,,1992.664,,GCVS,,V1441 Cyg,
311447,V1447 Cyg,194619.95 +393620.8,M,14.4,21,,p,32630,,330,,,06855 06855,,,1991.598,,GCVS,,V1447 Cyg,
311526,V1526 Cyg,204535.19 +425213.7,UV,16.5,21,,U,,,,,,07753 USNO,,,1953.452,,A2.0,,V1526 Cyg,
311752,V1752 Cyg,202907.30 +402611.9,UV,15.5,21,,U,,,,,,08759 USNO,,,1953.452,?,A2.0,,V1752 Cyg,
311753,V1753 Cyg,203152.48 +431054.2,UV,16.3,21,,U,,,,,,08759 USNO,,,1953.452,,A2.0,,V1753 Cyg,
311777,V1777 Cyg,202438.81 +423408.2,UV,15.5,21,,U,,,,,,67300 USNO,,,1953.452,,A2.0,,V1777 Cyg,
311790,V1790 Cyg,205005.   +432514. ,UV,16.8,21,,p,,,,,,67316,,,,,,,V1790 Cyg,
400334,QZ    Her,185137.65 +120919.0,M,14.4,21,,p,33479,,303,,,00164 02368,,,1991.385,,GCVS,,QZ    Her,
460228,IK    Leo *,102146.45 +234927.7,UGSU,13.9,21,,V,,,,,pec(UG),80331 80331,,,1990.012,,GSC2.3,,IK    Leo,
550580,V0580 Mon *,064052.11 +092913.9,IN,18,21,,p,,,,,,06587 06587,,,1989.85,,GSC2.2,,V0580 Mon,
580068,AO    Oct,210508.3  -752103. ,UG,13.5,21,,p,,,,,,06920 08852,,,1992.423,,GCVS,,AO    Oct,
592107,V2107 Oph,170814.40 -250533.1,XND,16.5,21,,B,,,,,pec(cont-e),09551 09551,,,1974.602,,GCVS,,V2107 Oph,
592214,V2214 Oph,171201.69 -293733.5,NB,9.4,21,,V,,,,,,69207,,,1988.287,,Lit.,,V2214 Oph,
600897,V0897 Ori *,054006.16 -062820.2,UVN,15,21,,U,,,,,,05573 05573,,,1998.246,,2MASS,,V0897 Ori,
600977,V0977 Ori *,053403.65 -045721.2,UVN,15.7,21,,p,,,,,,09482 09482,,,1998.213,,2MASS,,V0977 Ori,
601065,V1065 Ori *,053206.46 -043446.1,UVN,15.6,21,,p,,,,,,08778 08778,,,,,GCVS,,V1065 Ori,
601131,V1131 Ori,053619.17 -050037.9,UVN,14.1,21,,U,,,,,,67150 USNO,,,1955.88,,A2.0,,V1131 Ori,
630159,EP    Per,025511.60 +542546.5,M,15.5,21,,p,29174,,262,,,00911 02347,,,1993.94,,GSC2.2,,EP    Per,
660082,BD    Psc,230203.03 -021140.0,UV,>18.,21,,p,,,,,,70092 70092,,,1953.914,,A2.0,,BD    Psc,
680661,V0661 Pup *,072632.92 -474118.2,EA,20.2,21,20.7,V,48668.7426,,0.8882,,,80277 80277,,,1980.028,,Lit.,,V0661 Pup,
724334,V4334 Sgr,175232.69 -174108.0,*,10.9,21,,V,,,,,,73280 73280,,,1999.324,,2MASS,,V4334 Sgr,
750185,FV    Sct,183451.65 -125526.9,N,7,21,,p,37070,1960,,,pec(Nova),04228 04228,,,1996.615,,GSC2.2,,FV    Sct,
760489,V0489 Ser,155532.00 -001055.1,EA,19.2,21,,*,53873.59434,,0.078847,12,pec(e),80064 80027,,,1992.424,,GSC2.3,,V0489 Ser,
