,id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
2436,67129617115733347050,182.89311999999998,57.74064,SN,0,0.0262769570724207,0.0,16.3,21.90883,21.99323,24.80203,24.3618,22.8269
2438,56252519793143826737,180.82563000000002,44.52628,SN,1,1.32768971843261,-9999.0,15.2,27.69994,20.803060000000002,20.14193,19.85124,21.20598
2439,52310943692296108690,46.34346,0.85836,SN,1,0.0974166945535006,0.091007,21.1,21.96012,18.5897,17.719920000000002,17.23894,16.90841
2441,54997156265981011267,26.92833,0.20722,SN,1,0.0229734206011425,0.146541,22.2,23.84233,22.436999999999998,21.57674,21.58585,22.29417
2451,76880087044416066843,16.85533,1.04375,SN,1,0.104165483357238,0.161494,20.8,20.68205,19.23544,18.368920000000003,17.93533,17.70034
2456,35566317721032773502,42.63371,0.80781,SN,1,0.0307216234468826,0.174305,21.0,20.4798,19.5266,18.90931,18.514429999999997,18.36386
2464,64468680047503296772,339.78558,-0.8651700000000001,SN,1,0.0511906771796918,0.353086,21.5,22.523870000000002,22.05783,21.29267,21.24585,21.03075
2476,263808102990398031,338.13675,0.85908,SN,1,0.0447015035159779,0.255473,22.3,24.899820000000002,21.18273,19.78698,19.282510000000002,18.88664
2479,3231523664953822409,337.02862000000005,-1.1281700000000001,SN,1,0.0184583537494654,0.327532,22.5,21.54111,21.18679,20.51933,20.218410000000002,19.74322
2483,42538185456103055607,328.59467,15.1605,SN,1,0.0360922620189702,-9999.0,16.6,24.030620000000003,22.39483,22.49174,24.3618,22.82689
2487,10059383320227092065,329.95596,-1.19369,SN,1,0.108274141059172,0.100464,21.7,19.168779999999998,17.31581,16.21714,15.67104,15.205820000000001
2494,84788239526589117642,2.04087,27.00317,SN,1,0.0308495358271194,0.024017,17.5,15.56165,14.54884,14.08801,13.81594,13.5927
2501,92462024109795764263,13.433539999999999,-0.5602199999999999,SN,1,0.0282350066638523,0.402994,21.5,21.742820000000002,21.40461,21.09058,20.761589999999998,21.05171
2504,43437470148439999823,1.69062,-0.03678,SN,1,0.0008311303280062161,0.38853699999999997,22.6,22.4408,21.6258,20.84644,20.413520000000002,20.014329999999998
2506,69782334866502234909,178.91121,44.383720000000004,SN,1,0.0690221385194841,0.040138,17.2,18.855320000000003,17.61441,17.284779999999998,17.08236,17.026970000000002
2508,86393465407342744687,17.485870000000002,-3.52656,SN,1,0.11345376226527198,0.427263,19.5,23.05058,22.9231,22.02909,21.538520000000002,21.68025
2512,85913626299354934218,6.80704,1.12061,SN,1,0.0229899734520483,0.352011,22.1,22.17401,21.46676,20.59935,20.32599,19.83537
2520,31436284782992135365,287.88083,77.89311,SN,0,0.0174176334615279,0.0,18.0,20.17665,18.80404,18.5987,19.05556,19.53943
2521,75291032920198534780,351.19992,0.9445600000000001,SN,1,0.0175005369271691,0.125005,20.5,19.43347,17.50788,16.43892,15.97836,15.59435
2525,36606431856464055953,10.701789999999999,0.37975,SN,0,0.0970144869915764,0.0,22.2,23.53066,21.93306,21.074089999999998,20.48634,20.08594
2526,75809866986429537939,31.2625,0.8366399999999999,SN,1,0.0707612054917682,0.130412,20.1,19.87099,18.76391,18.14781,17.76819,17.59933
2527,9059606363312902670,163.12941999999998,7.228110000000001,SN,0,0.0970693502413736,0.0,18.8,21.56331,21.48319,22.16292,24.3618,22.82689
2528,51551921187505115966,19.08362,-0.80781,SN,1,0.0270250334629442,0.32671300000000003,23.0,22.60266,21.32325,20.07755,19.68843,19.46793
2531,67859475417523927082,236.07029,34.72047,SN,0,0.0963143715430196,0.0,19.7,25.167379999999998,22.54477,20.94484,19.48517,18.67791
2537,34506182408895717935,120.53096000000001,0.80875,SN,1,0.0189735350419754,0.5794779999999999,17.2,22.22065,21.83748,21.81149,21.77125,21.48386
2539,19867671801248154420,316.51771,1.21583,SN,1,0.0983141205207123,0.054464,20.3,19.611279999999997,18.12292,17.59604,17.26417,17.14114
2541,80143876592326050191,328.44725,0.015059999999999999,SN,1,0.00188100767796693,0.151843,19.9,22.09468,21.21281,20.81361,20.505770000000002,20.33338
2546,87102174995349680134,225.75421,21.69461,SN,1,0.137723281320664,0.756171,19.4,23.515439999999998,24.74265,23.631520000000002,22.61854,22.20974
2548,41887352668772482267,337.88454,-0.49356000000000005,SN,1,0.0121111955667776,0.8626959999999999,22.3,22.88421,22.48056,21.75561,22.5316,21.78841
2550,35271139410859889307,40.3025,-0.87944,SN,1,0.0944201008928226,0.34871199999999997,17.2,24.070529999999998,21.593510000000002,20.06171,19.45008,19.04952
2551,27004181685958995617,312.04321,-1.1714200000000001,SN,1,0.0175506364266796,0.241775,20.5,21.365270000000002,20.88831,20.34921,20.26155,20.81314
2560,69959808052634829236,0.15646,28.384140000000002,SN,1,0.0897734698000379,0.033291,17.4,16.73771,14.628720000000001,13.699320000000002,13.23185,12.89355
2563,99333993411503603594,357.82229,1.22761,SN,1,0.0167514887939611,0.078427,20.1,20.38937,19.49548,19.25735,19.00061,18.79683
2579,20048614374205203201,5.78279,0.9834700000000001,SN,1,0.0291073291070444,0.231319,21.5,22.40728,19.86618,18.53215,17.992720000000002,17.71094
2589,79416731538080110581,18.76008,0.26192,SN,0,0.00639476760338276,0.0,19.3,21.985429999999997,19.850720000000003,18.7253,18.84395,18.95815
2591,50014944616858392092,340.92087000000004,0.42136,SN,0,0.0046001013215846605,0.0,22.2,24.933770000000003,25.048379999999998,23.63279,21.77794,21.995520000000003
2594,40211519652992313996,312.41683,0.46863999999999995,SN,0,0.18173231357380398,0.0,21.7,23.776510000000002,23.14274,21.35924,20.322570000000002,19.82015
