,id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
2071,65001733754952180733,43.7735,-0.14744000000000002,SN,TNS,1,0.0605235049653454,0.18089,21.9,21.88496,20.08118,19.02675,18.55411,18.291439999999998
2076,88490084074298902389,239.92471,2.2845,SN,TNS,1,0.0328699405668232,0.109422,18.2,25.95014,20.80256,20.443089999999998,20.539920000000002,22.09284
2089,94539882918289166473,356.7755,29.48072,SN,TNS,0,0.0532153112244932,0.0,16.5,24.29216,22.17795,21.859579999999998,21.40778,21.76373
2103,74251362266793314792,151.43254,10.271419999999999,SN,TNS,0,0.0901798092526435,0.0,16.5,22.58071,23.511020000000002,23.26896,23.24091,22.38166
2104,67076244857108397948,52.460080000000005,0.29508,SN,TNS,1,0.0197342679105488,0.239923,22.0,22.49073,21.13184,20.19592,19.80004,20.00874
2109,47866559430676828546,333.7625,-0.34125,SN,TNS,1,0.0323503277930752,0.172597,22.0,21.55566,20.47867,19.81757,19.41517,19.24244
2123,5753348862807218607,239.14083,41.89653,SN,TNS,1,0.0975607229790336,-9999.0,18.1,21.15697,20.60816,21.23566,21.37579,22.1217
2124,97125887928928496480,3.17083,-0.53547,SN,TNS,1,0.0596423336630113,0.164932,21.6,22.59194,19.89208,18.79697,18.31793,18.08595
2133,9098738747327821606,16.25083,-0.37464000000000003,SN,TNS,1,0.0882310173479938,0.790832,22.7,22.616039999999998,23.083679999999998,22.53784,21.34581,20.59145
2142,21929922541532799301,338.53058,5.56842,SN,TNS,0,0.0219746124057073,0.0,18.2,22.59812,21.734939999999998,24.802039999999998,24.361810000000002,22.82691
2144,71467702335383169716,48.26433,-0.47163999999999995,SN,TNS,1,0.0347161246209133,0.09447699999999999,22.5,20.48722,18.865389999999998,18.04137,17.56566,17.210179999999998
2145,39083916158055464457,12.71117,0.8536100000000001,SN,TNS,0,0.0924419982075651,0.0,18.1,24.27205,24.46828,23.58854,22.54709,23.15354
2153,50171670584423332217,348.16407999999996,0.26694,SN,TNS,1,0.0903685235117092,0.288878,22.5,22.21398,20.13358,18.535970000000002,17.97618,17.60182
