"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"15753","AT 2016hks","15:37:21.35","-48:35:08.81","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bor","Gaia - Gaia-photometric","","1","1","","18.67","G-Gaia","2016-10-18 11:34:04","Gaia_Bot1",""
"15752","AT 2016hkr","17:14:27.73","+20:18:19.10","","","NGC 6321","","POSS, GaiaAlerts","","GaiaAlerts; POSS","","Other - Other, Gaia - Gaia-photometric","","1","1","","18.1","Clear-","2016-10-25 02:10:52","Puckett",""
"15751","AT 2016hkq","05:49:50.12","+20:06:57.28","","","","","GaiaAlerts","","GaiaAlerts","Gaia16boq","Gaia - Gaia-photometric","","1","1","","20.37","G-Gaia","2016-10-19 19:37:55","Gaia_Bot1",""
"15750","AT 2016hkp","20:19:57.52","+19:58:49.12","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bop","Gaia - Gaia-photometric","","1","1","","18.78","G-Gaia","2016-10-17 23:26:52","Gaia_Bot1",""
"15749","AT 2016hko","06:05:51.24","-50:46:51.13","","","Uncatalogued","","ASAS-SN","","ASAS-SN","ASASSN-16lz","ASASSN-2 - Cassius","","1","1","","16.8","V-Johnson","2016-10-25 06:01:26","Stanek",""
"15748","SN 2016hkn","02:08:34.23","+29:14:11.10","SN II","0.022","NGC819","","ISSP","NUTS","ISSP","","Other - Other","NOT - ALFOSC","1","1","","17.2","Clear-","2016-10-22 03:50:53","Briganti",""
"15747","AT 2016hkm","06:32:34.17","+18:24:22.32","","","","","GaiaAlerts","","GaiaAlerts","Gaia16boo","Gaia - Gaia-photometric","","1","1","","18.57","G-Gaia","2016-09-16 15:46:04","Gaia_Bot1",""
"15746","AT 2016hkl","18:39:40.08","-07:30:09.83","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bon","Gaia - Gaia-photometric","","1","1","","17.62","G-Gaia","2016-10-18 22:48:00","Gaia_Bot1",""
"15745","AT 2016hkk","11:35:16.26","-53:02:03.48","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bom","Gaia - Gaia-photometric","","1","1","","18.01","G-Gaia","2016-10-18 15:10:04","Gaia_Bot1",""
"15744","AT 2016hkj","12:30:33.96","-54:36:25.38","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bol","Gaia - Gaia-photometric","","1","1","","17.96","G-Gaia","2016-10-12 16:59:31","Gaia_Bot1",""
