id,label,ra,dec,mag
56686576597998520404,SN,236.09662,39.56088,19.13
88274191388337701114,SN,213.40871,34.94557,20.28
47525493246471319301,SN,207.095,14.87948,18.224
93756762151480717685,VS,112.11471,-37.42029,16.39
20695725416672604526,SN,199.67821,-0.75917,19.86
84538314853167424364,VS,211.60454,-32.0555,14.64
24873015962512271563,SN,207.16929,43.41797,16.8
16977649930094076707,SN,155.71121,14.05462,17.1
55270443135001489328,SN,155.03354,-6.62606,18.458
11433947859835048726,SN,211.75092,-15.25972,17.417
55910725216531506351,SN,177.99967,9.70344,18.2
86277515124912096988,SN,52.97087,-52.12337,17.4
50339720120103033083,SN,129.29754,23.19823,19.04
4887663453996808910,SN,112.58587,18.19083,18.287
78414281157438758919,SN,153.451,38.76317,18.3
92365751837306136435,SN,158.14521,-2.6885,17.5
90812345717553647363,SN,256.80854,-64.41144,17.4
5863610914360478575,SN,185.3925,55.57442,17.18
48139140498847137549,SN,59.50592,-65.50684,16.7
66538728318665020199,SN,226.84512,38.41653,17.388
61789893618773559099,SN,210.91275,-33.9785,16
31055325049865641783,SN,35.75704,-36.88303,17
20893754812461604747,SN,240.45425,47.39072,17.98
74085191271876101722,SN,250.91571,26.59602,18.333
37870842768196959760,SN,211.88296,-22.15605,18.84
62568866720137968167,SN,291.83179,65.56494,15.3
43787859108280363019,SN,94.51325,78.36692,17.8
74826422715431160408,SN,239.74621,63.71055,18.347
15370192863455887507,SN,80.63483,-11.48719,17.9165
33745190867442686935,SN,134.89829,45.61164,18.9
2822528582949013924,SN,183.84629,27.62684,18.4
79936726316031628165,SN,190.29642,-1.589,17.8
61180458837929166417,SN,176.55429,20.3885,18
6188606064606338244,SN,75.83192,-10.97229,17
11866042852439658718,SN,204.58496,-6.25282,18.1
12017563936808554862,SN,212.25575,-30.55735,16.5
30673438558563020841,SN,186.49379,4.47418,17.2
45377715183132322961,SN,178.18887,37.85424,17.6
98399358411683382477,SN,139.09192,10.23204,17.3
37283951202405750625,SN,193.45104,-39.69697,17.6
33033807502266445191,AGN,132.23313,58.6984,17.31
20504325118944703267,SN,102.56329,27.14004,16.96
60146494847744244927,SN,188.41183,1.93385,18.96
49000291479442495299,SN,311.82346,-84.62437,17.71
37704120529010049587,SN,220.7935,17.47173,17
5745705477190407522,SN,105.5925,-49.72586,17.7
87011088535712180270,SN,25.23742,-34.27969,18.866
7709591845882656115,VS,252.16621,-62.5973,18.8
98754339618729744539,SN,178.74529,6.32971,18.1
27127555358066418058,SN,166.48662,37.62514,17.9
65787427809308790859,SN,148.59667,-14.65507,18.05
16422031513070611035,SN,162.95875,25.04488,17.7
1712990122455113114,SN,190.46408,23.51181,18
94784055108785749470,VS,100.63854,40.04249,16.5
63562033663132075160,SN,163.89446,-28.47696,19.079
61657927084643055403,AGN,171.30687,-22.70129,19.102
77510812440470260894,AGN,189.60175,-19.98715,18.425
4665892842974016078,SN,216.79767,-2.26946,18
82409595732369370594,SN,92.41354,-33.5902,18.2
65751888240521381701,SN,153.91625,73.43467,14.963
43231909501048866707,VS,149.63762,-27.83058,17
85946962807957990899,SN,213.6345,3.19009,16.3
60337882588861063380,SN,178.23208,36.98656,15.1
33735338065456184212,SN,194.02604,32.05442,18.4
98339458081915561004,SN,192.48737,28.87308,18.7
45297467936373133794,SN,193.88037,-50.05471,15.7
18659734246590307080,SN,173.21658,-38.76156,16.9
11963279857611452489,SN,119.04708,45.52678,17.9
69305685732420845763,SN,124.78287,44.94556,19.6
93629948103459486022,SN,107.63221,32.64623,18
30737388197761574173,SN,159.23308,0.2303,18.8
67158963566516835394,SN,122.75958,5.08719,16.5
52824753288664396455,SN,76.75467,-32.68503,18.1
55200243322606977605,SN,142.22987,49.23814,16.4
6143746032872530837,SN,53.58233,39.59293,18.3
91644656775532720518,SN,42.76837,9.11231,19.39
57604785801638975985,SN,30.1575,12.1717,19.47
10422591693200438501,SN,196.24471,30.50524,19.95
23286104345866476782,SN,136.66475,19.33827,15.15
62716190312680496227,SN,192.35025,-46.92757,18.77
98794045337570422974,SN,49.35254,33.16486,18.82
88835654097671594122,SN,201.549,-44.44174,18.41
42769350573092758278,SN,140.86437,17.18428,19.378
60237944345442115753,SN,29.33517,40.60249,17.497
96120107624487135796,AGN,217.04737,16.48112,17.724
60341564459080610755,SN,164.22325,79.27847,20.1
10664663514594021176,SN,155.54075,10.43997,19.6
25043942328004933624,SN,270.25442,61.69584,17.4
74896903127679970244,VS,131.68667,-13.8169,16.45
15150686512915881663,SN,26.79871,18.79863,17.81
63112168592836835945,SN,158.02033,-36.62485,17.5
29558852350929758259,SN,106.1595,-23.59105,17.34
88018862028125393534,SN,217.93325,45.77799,17.8
75037506852648876166,SN,205.99971,30.93361,18.2
68756388208374315452,SN,141.23821,40.39865,17.7
47180354788996879816,SN,161.63775,13.74194,19.9
50764423988421538020,SN,185.39625,15.98572,16.8
63191346146142777723,SN,49.05679,-15.01305,18.97
7657493068426093392,SN,137.4085,48.66119,18.32
5061721366502020689,SN,197.16471,-41.45446,17.683
30703681851075552816,SN,72.77621,-20.5552,18.548
61517140475163992431,SN,157.7435,23.7884,19.517
89079133310939034493,SN,163.04667,58.44017,19.4
45353591655229521455,SN,194.20158,3.8909,17.91
93765944613721491947,SN,77.05,-54.64539,18.1
12281512881829214323,SN,14.61708,-5.87583,19.123
13439190674980194483,SN,215.3225,-6.62744,16.72
85280347960929621717,VS,76.756,-35.92047,13.5
38796290362521391813,SN,199.23896,-16.6179,17.9792
69970454350773266534,SN,136.49908,35.37333,17
82924039039303858165,SN,138.59933,49.59247,17.6
8503589443033260339,SN,163.50442,-16.02261,16.8
73729036897379685768,SN,52.54608,-13.52312,18
69083950262476309133,SN,47.63175,-71.25511,19.309
58310298456511861278,SN,75.56037,-61.90689,19.034
34123493417165817537,SN,133.41904,-25.0589,17.92
89661941328297882150,SN,183.4225,28.44441,18.97
87069891902381279550,SN,138.91133,17.30618,21.97
30146432813093451020,SN,136.56358,17.33934,21.76
17199656360481169525,SN,137.84579,23.8579,20.59
84421909426284204813,SN,121.39421,-11.43786,16.5
20507929487959823056,SN,26.67775,32.50852,17.7
7274896239852176901,SN,149.52604,10.3594,16.9
36535022947238020248,SN,248.97462,40.03272,16.6
2720883235875280990,SN,248.01,78.21143,14.6
47613026228219847569,SN,148.3335,-18.41925,17.35
46999849824504394051,SN,170.66937,12.02538,17.1
56488043027571211014,SN,143.01271,-24.81568,18.58
57660502900401015318,SN,156.96154,-43.90175,15.1
4075587003481784595,SN,18.02108,-69.08331,17.23
12004024155467661421,SN,139.05138,39.06175,17.3
39822356707429278241,SN,38.00429,8.58782,18.681
34299825559798553407,SN,133.34237,48.99567,18.6
25242166041656826329,SN,222.22333,38.76748,16.9
3044178355581087800,SN,50.83642,-22.11652,18
96289288663377726619,SN,46.96937,-45.74031,18.1
21161475772054469352,SN,166.49829,-12.5272,16.1
48649036326221881601,SN,126.04829,-77.78793,16.84
64955103905090924471,SN,34.972,29.03408,17.1
79845952974634364937,SN,77.94946,-40.19557,16.5
87479128032832416644,SN,344.44421,25.64266,18.794
15453088047958439099,SN,17.20417,-76.71322,19.432
50129494163753597083,SN,349.54062,21.4318,19.96
95068521552861363221,SN,155.7885,57.04303,17.6
56857208226895747763,SN,27.71033,48.35381,17.6
9988892642136276666,SN,160.85096,7.10006,18.89
92095985421025253343,SN,329.62071,-27.70676,17.871
41953479278085931712,SN,205.68287,-24.33531,19.043
60266541156524449701,SN,202.10179,67.71773,18.74
74773656439981819783,SN,136.75017,16.67453,19.5
29145785733715391218,SN,47.64083,-43.49289,17.8
8249887679402061210,SN,86.51046,-25.6519,18.824
39382106015139201204,SN,160.08871,-46.41957,16.426
84587189745450279761,SN,143.08654,3.44697,20.06
47746042506141734089,SN,137.9305,-0.25887,18.65
97844105947568611438,SN,118.86812,31.05163,20.56
1927964684666645997,SN,348.68792,4.53086,18.5
64838011137218472850,SN,160.96,6.76514,18.5
27364400180220974518,SN,184.96383,7.5712,18.33
23190980087788611606,AGN,10.27962,-9.44795,18.889
65397559224659118034,SN,183.03146,-40.5054,18.519
93369413031968297008,SN,186.44067,-21.74012,16.61
27264439618200572714,SN,165.66054,-7.51986,16.5
22917922966252962197,SN,195.43621,-24.51314,17.6
78001726190124680880,SN,201.97404,-29.61854,18.15
77122393033447502009,SN,204.60562,-31.26464,17.58
75385094641219536718,SN,187.40746,7.82644,17.17
71039667451491958739,SN,23.40346,33.43117,18.51
72762855340889980337,SN,149.55542,0.56095,19.13
99680627521487651857,SN,82.21342,-35.7432,18.929
26279612287602309496,SN,111.94496,6.46693,18.898
82749934475155779498,SN,129.254,81.69514,16.8
58832194754985599810,SN,48.55012,-71.20708,21.018
93635164678642176694,SN,112.51696,54.43584,17.3
86484020174044558330,SN,129.10271,26.12351,18.1
9976979037896672162,SN,226.33767,12.78431,16.8
4053525192043808262,SN,126.57692,20.66452,20.14
36545773341161833517,SN,108.74917,46.3784,18.2
30420570785440109585,SN,57.38675,-26.87148,18
70599962586675021139,SN,11.98412,22.37396,17.6
92464536273903696954,SN,155.93962,53.10569,17.8
27857964055406241884,VS,67.34679,1.99751,17
90099366756171235396,SN,163.2665,73.10634,18.17
78927974207558025746,SN,65.16804,-38.2456,18.1
54990406674948818872,SN,50.69542,0.14808,17.9
17563752002128644498,VS,109.98454,46.82127,15.63
77350380617317611769,SN,134.32367,63.54633,20.6
87064899857366858691,SN,53.30304,36.19017,18.3
99522634127275565427,SN,12.02258,-2.78956,16.9
1711545544551509245,SN,105.73125,62.7725,18.5
92306368859454190045,SN,46.84404,-64.38361,19.2
84568473184462756002,SN,222.84154,28.59047,18.06
62114265734035938456,SN,209.60942,-34.51609,17.92
58494736972986677839,SN,28.38067,39.82197,18.52
21864723030568297337,SN,199.98058,-47.28466,18.03
73313538620828212581,SN,123.37762,71.4292,15.9
28046636831202903950,SN,12.60512,52.2978,18.49
35861034310090928888,SN,90.06308,-18.10293,16.5
3469059891366154145,SN,50.86667,-41.30539,17.8
79149131548596584002,SN,151.75338,-14.26622,18.968
42240822596719754752,SN,176.60583,1.99255,19.19
92156388213074228212,SN,92.23671,-27.79583,17.936
68842723482392172792,SN,345.22642,8.72423,19.208
69812958383463131719,SN,116.76262,26.77382,18.491
58756159579314509167,SN,108.71971,49.13756,19.29
37652999882681996808,SN,31.24863,-41.86893,18.1
36585795687610578642,SN,290.38017,61.14771,16
49607748137484672672,SN,57.52925,-35.0102,18.3
32189990203592508451,SN,32.19946,-44.66647,18.3
16880497067714004373,SN,36.9025,-20.71561,18
81106767865517072441,SN,14.35229,-0.76775,18.874
42310113587446936159,SN,52.86167,-17.37931,18.311
61788661331375496685,SN,66.23571,-17.81008,19.442
82879430582434201714,SN,101.11042,-63.71111,17
76827552653616312015,SN,350.12737,24.77761,17.57
28445201247748994092,SN,136.23479,14.66915,20.46
9953678876171658115,SN,37.45638,45.78094,17.9
31267412058384794617,SN,38.58654,23.7766,18.482
39765060521311537024,SN,134.46358,-6.84485,19.4
98559786175063020302,SN,181.43987,10.39824,16.8
31372138466599345563,SN,59.40725,-36.85932,18.94
57983102247922326244,SN,130.67346,13.9678,18.86
89534303036886221514,SN,105.43629,-55.30556,18.61
58188201507192579654,SN,168.63333,-43.97055,17.65
93474799433761321755,SN,161.63604,-45.54052,17.29
59025570799644680049,SN,203.30033,-16.11834,18.15
29075910267845706648,SN,79.32921,-36.82682,18.38
4782439825083013864,SN,307.20767,-4.38258,14.5
44191848470421400707,SN,234.13625,16.60539,15.4
39406445719112445083,SN,183.55579,-22.52083,17.89
65030749814661241827,SN,161.61225,-33.03945,18.88
6252977373424338341,SN,77.1625,-33.52314,18.78
73875791785931900578,SN,91.9565,-37.64834,18.3
99156808241748594179,SN,204.90104,-11.48218,16.317
21006256471339865913,SN,7.6465,1.51677,18.703
28960228492672356418,SN,204.77208,-20.29165,16.768
43829436495546899794,SN,29.58025,-28.38749,18.165
42589120687247430972,SN,38.35467,-20.20254,17.598
37789883572082854077,SN,67.9235,-21.14781,18.311
14967771278792309307,SN,96.91704,47.49603,17.488
53912425587759911728,SN,20.79258,39.07474,18.43
84199270207741346005,SN,18.95862,34.6155,19.1
70834489640288174310,SN,167.41467,-12.58843,18.72
97858926278953686070,SN,151.62929,-16.48688,18.82
78513793054907070325,SN,164.04012,-7.72878,18.31
92823193841693599282,SN,77.95529,67.48753,18.3
72963459763663936747,SN,161.80529,0.20387,18.59
98222275541419551440,SN,152.63833,-30.50996,18.73
60815173177998374303,SN,84.15212,-31.7217,18.37
31976001370991183303,SN,87.22871,-33.12627,18.14
13158162972488465419,SN,45.06329,-10.5298,18.952
30725795483136142481,SN,53.38325,3.19006,17.565
14976250123654406243,AGN,109.51242,-29.73404,18.95
60545373367065980800,SN,100.9605,-29.66111,18.8
96707760554492104608,SN,198.30075,-19.52086,15.345
29602398977860591626,SN,124.16037,-24.8428,18.83
83462259255528245326,SN,167.68567,4.84753,15.43
28160795193448118076,SN,211.59629,50.72228,15.5
16092546058106134986,SN,134.91404,61.75489,18.2
22594802383356717785,SN,99.49229,-15.36683,18.34
77674801143652692053,SN,63.84525,-12.06932,18.1
36252895644937464526,VS,354.40675,-60.73256,17.6
93878922400012126802,SN,5.02329,42.23356,18.8
95868192867190803400,SN,149.26912,-35.18094,18.842
4677109202566758740,SN,65.26996,-4.71835,18.8
12495556772527066689,SN,2.57108,-40.68334,18.71
44683518043373086726,SN,24.92742,20.57888,19.7
60564782688376711570,SN,139.76767,5.88685,18.11
16730826029685721386,SN,13.27375,-38.94358,17.51
