NNo,GCVS,RA,Dec,RA (hourangle),Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
780661,V0661 Tau *,57.146625,22.8951389,3.809775,UV,15.3,22,,U,,,,,,06894 06894,,,1997.824,?,2MASS,,V0661 Tau,
780463,V0463 Tau *,57.1889583,24.6240278,3.81259722,UV,14.8,20.5,,p,,,,,,05928 10031,,,1997.882,,2MASS,,V0463 Tau,
780356,V0356 Tau *,57.2959583,24.3476111,3.819730553,UV,13.1,20.2,,U,,,,,M3,10031 07328,,,2000.023,,2MASS,,V0356 Tau,
780669,V0669 Tau *,57.507,24.6135,3.8338,UV,13.5,22,,U,,,,,,07486 06894,,,1997.882,,2MASS,,V0669 Tau,
780763,V0763 Tau *,57.7423333,23.9285833,3.849488887,UV,14.4,20.5,,U,,,,,,08564 10031,,,1997.824,,2MASS,,V0763 Tau,
781212,V1212 Tau *,57.987375,25.4246111,3.865825,UGSU,15.3,21.5,,B,,,,,,77033 77033,,,1986.845,,GCVS,,V1212 Tau,
780390,V0390 Tau *,58.033125,25.4652222,3.868875,UV,16.5,22.5,,U,,,,,,05520 10031,,,1998.763,,2MASS,,V0390 Tau,
780397,V0397 Tau *,58.3520417,25.0353333,3.890136113,UV,16.6,21.6,,U,,,,,,03924 10031,,,1999.987,,2MASS,,V0397 Tau,
780804,V0804 Tau *,58.354,23.6308333,3.890266667,UV,15.3,21,,U,,,,,,08794 10031,,,1973.3,?,B1.0,,V0804 Tau,
780401,V0401 Tau *,58.6042917,24.7121389,3.90695278,UV,16,21.4,,U,,,,,,03924 10031,,,1999.902,,2MASS,,V0401 Tau,
630518,V0518 Per,65.4282917,32.9075278,4.361886113,XND+ELL,13.15,22.4,,V,,,,,,72140 72140,,,1993.55,,Lit.,,V0518 Per,
780894,V0894 Tau,66.0458333,22.9147222,4.403055553,UV,16.3,20.5,,p,,,,,,68260,,,,,,,V0894 Tau,
530047,WY    Men *,68.1405,-83.8986944,4.5427,RRC,19.6,20.1,,B,42402.871,,0.36218,45,,07982 07982,,,1983.409,,A2.0,,WY    Men,
780829,V0829 Tau,68.2175,26.5847222,4.547833333,UV,15,20.5,,p,,,,,,67324,,,,?,GCVS,,V0829 Tau,
780930,V0930 Tau,68.2457917,26.2443889,4.549719447,UV,15.5,21,,p,,,,,,68262 2MASS,,,1997.914,,2MASS,,V0930 Tau,
700029,TV    Ret,68.9195,-59.25675,4.594633333,UG,16.61,20.77,,B,,,,,,72082 72082,,,,,A2.0,,TV    Ret,
700033,TZ    Ret,69.2587917,-59.0646667,4.61725278,RRAB,18.31,20.01,,B,,,,,,73278 73278,,,1983.04,,A2.0,,TZ    Ret,
530048,WZ    Men *,72.2965417,-83.7508611,4.819769447,RRAB,19.3,20.2,,B,42402.885,,0.51386,26,,07982 07982,,,1983.409,,A2.0,,WZ    Men,
530049,XX    Men *,72.6470417,-84.1976944,4.843136113,RRAB,19.3,20.3,,B,42403.121,,0.52855,23,,07982 07982,,,1983.409,,A2.0,,XX    Men,
360225,HY    Eri,75.4400417,-3.9936111,5.029336113,XM+EA,17.4,22.7,,V,,,,,,76040 76005,,,1955.954,,A2.0,,HY    Eri,
650034,UU    Pic,78.6065,-52.89775,5.240433333,NL,19.5,20.5,,p,,,,,,73015 73015,,,1976.825,,A2.0,,UU    Pic,
601092,V1092 Ori,82.6525,-4.6273611,5.510166667,UVN,15.4,20.4,,p,,,,,,67146 67146,,,1955.957,,A2.0,,V1092 Ori,
601065,V1065 Ori *,83.0269167,-4.5794722,5.53512778,UVN,15.6,21,,p,,,,,,08778 08778,,,,,GCVS,,V1065 Ori,
601100,V1100 Ori,83.0498333,-4.7211111,5.536655553,UVN,16.2,21,,p,,,,,,67146 67146,,,1955.88,,A2.0,,V1100 Ori,
601112,V1112 Ori,83.3906667,-6.4316944,5.55937778,UVN,16.4,21,,p,,,,,,67145 67145,,,1955.88,,A2.0,,V1112 Ori,
600977,V0977 Ori *,83.5152083,-4.9558889,5.567680553,UVN,15.7,21,,p,,,,,,09482 09482,,,1998.213,,2MASS,,V0977 Ori,
600979,V0979 Ori *,83.6574167,-4.3244722,5.577161113,UVN,15.8,20.5,,p,,,,,,09482 09482,,,1955.88,,A2.0,,V0979 Ori,
600777,V0777 Ori *,83.72875,-4.4568056,5.581916667,UVN,15.8,20.2,,U,,,,,,05573 05573,,,1955.88,,A2.0,,V0777 Ori,
600985,V0985 Ori *,83.87225,-7.1710556,5.591483333,UVN,16.9,22,,p,,,,,,09482 09482,,,,,GCVS,,V0985 Ori,
601125,V1125 Ori,83.951625,-6.2933611,5.596775,UVN,11.9,20.2,,U,,,,,,67150 USNO,,,1955.88,,A2.0,,V1125 Ori,
601131,V1131 Ori,84.079875,-5.0105278,5.605325,UVN,14.1,21,,U,,,,,,67150 USNO,,,1955.88,,A2.0,,V1131 Ori,
601200,V1200 Ori,84.2395,-7.0365556,5.615966667,UV,14.8,21.5,,B,,,,,,70086 70086,,,1986.92,,GCVS,,V1200 Ori,
601246,V1246 Ori,84.312,-6.3277222,5.6208,UVN,16.5,21,,p,,,,,,71047 71045,,,1998.221,,2MASS,,V1246 Ori,
601141,V1141 Ori,84.4120417,-6.8814444,5.627469447,UVN,16.5,21,,p,,,,,,67145 67145,,,1998.246,,2MASS,,V1141 Ori,
601186,V1186 Ori,84.5389583,-6.6959167,5.635930553,UVN,15.9,20.1,,p,,,,,,68178 68178,,,1955.88,,A2.0,,V1186 Ori,
601081,V1081 Ori *,84.6252083,-6.215,5.641680553,UVN,16,20.4,,p,,,,,,08778 08778,,,1955.88,,A2.0,,V1081 Ori,
600897,V0897 Ori *,85.0256667,-6.4722778,5.66837778,UVN,15,21,,U,,,,,,05573 05573,,,1998.246,,2MASS,,V0897 Ori,
601052,V1052 Ori *,85.52125,-5.1855833,5.701416667,UV,14,21,,U,,,,,,08425 USNO,,,1955.88,,A2.0,,V1052 Ori,
380213,HM    Gem,90.78675,25.2467778,6.05245,UG,16.5,20.5,,p,,,,,,04341 04341,,,1954.895,,A2.0,,HM    Gem,
602828,V2828 Ori,94.9997083,19.4496667,6.333313887,NL,14.5,20.5,,B,,,,,,81096 USNO,,0.000  0.000,1996.123,,G23,,V2828 Ori,
550616,V0616 Mon *,95.6855833,-0.3455556,6.379038887,XND+ELL,11.26,20.2,,B,,,,,pec(cont-e)+K5-7V,08693 09457,,,1955.883,,A2.0,,V0616 Mon,
80805,V0805 Aur,96.76575,39.8803333,6.45105,UGSU,12.2,20.5,,V,,,,,,81097 USNO,,0.000  0.000,1986.905,,G23,,V0805 Aur,
550666,V0666 Mon,99.9292083,9.17425,6.66194722,UV,15.8,20.3,,p,,,,,,68294 68294,,,1951.916,?,A2.0,,V0666 Mon,
550580,V0580 Mon *,100.217125,9.4871944,6.681141667,IN,18,21,,p,,,,,,06587 06587,,,1989.85,,GSC2.2,,V0580 Mon,
380446,V0446 Gem,101.8295833,33.5734722,6.788638887,UG,18.1,20.7,,*,,,,,pec(UG),81107,,0.000  0.000,2008.115,,Lit.,,V0446 Gem,
140108,CG    CMa *,106.022,-23.7595,7.068133333,UGSU,13.7,22,,V,,,,,pec(UG),N0362 N0363,,,1999,,Lit.,UGSU,CG    CMa,
80808,V0808 Aur *,107.858375,44.0681111,7.190558333,AM+EA,14.8,21.4,,V,,,,,wd+dM,81115 USNO,,,1998.295,,2MASS,,V0808 Aur,
80813,V0813 Aur,109.9538333,40.8921667,7.330255553,UG,16.7,21.5,,*,,,,,,81118 81118,,0.000  0.000,2003.839,,SDSS,,V0813 Aur,
550686,V0686 Mon,111.428,-3.1060833,7.428533333,M,11.5,21,,p,,,,,,69197 69198,,,1986.197,,GSC2.2,,V0686 Mon,
680661,V0661 Pup *,111.6371667,-47.6883889,7.44247778,EA,20.2,21,20.7,V,48668.7426,,0.8882,,,80277 80277,,,1980.028,,Lit.,,V0661 Pup,
680662,V0662 Pup *,111.7107083,-47.7574167,7.447380553,EW,20.1,20.5,20.5,V,48656.7105,,0.2386,,,80277 80277,,,1980.143,,A2.0,,V0662 Pup,
80496,V0496 Aur,111.9675,40.7820833,7.4645,UG,15.7,21,,R,,,,,pec(UG),75039 79229,,,,,Lit.,UG,V0496 Aur,
80654,V0654 Aur,112.294625,36.9773889,7.486308333,XM,19.5,20.7,,V,,,0.104,,,80278 USNO,,,1985.8,,B1.0,AM,V0654 Aur,
870038,UY    Vol,117.1404167,-67.7520833,7.809361113,XBN+E,16.9,23,,V,,,,,,68301 68300,,,1996.139,,GSC2.2,,UY    Vol,
120126,CZ    Cnc,126.3426667,20.3663333,8.422844447,UV,13.5,23,,p,,,,,M,08354 N0337,,,1998.023,,2MASS,UV,CZ    Cnc,
850221,HU    Vel *,128.8361667,-45.1765278,8.58907778,PSR,23.2,25.2,,B,,,,,,10135 08276,,,1986.39,,Lit.,,HU    Vel,
850385,V0385 Vel,128.9194167,-40.6434444,8.59462778,IN,19.78,20.22,,V,,,,,,77072 77072,,,1999.157,,2MASS,,V0385 Vel,
850386,V0386 Vel,128.937875,-40.6223889,8.595858333,IN,19.66,20.07,,V,,,,,,77072 77072,,,1999.157,,2MASS,,V0386 Vel,
850387,V0387 Vel,128.9489167,-40.6789167,8.596594447,IN,18.92,20.4,,V,,,,,,77072 77072,,,1999.157,,2MASS,,V0387 Vel,
120155,EL    Cnc *,129.0458333,20.0261111,8.603055553,UV,17.9,21,,p,,,,,,70013,,,,,,UV,EL    Cnc,
120107,CF    Cnc *,129.6416667,19.2588889,8.64277778,UV,14.4,20.6,,U,,,,,,70013,,,,,,UV,CF    Cnc,
120079,AZ    Cnc *,130.1237083,18.4023889,8.674913887,UV,14.1,20.5,,U,,,,,M6.5Ve,03924 2MASS,,-1.267,2000,,2MASS+pm,UV,AZ    Cnc,
120080,BB    Cnc *,130.1583333,19.4963889,8.67722222,UV,15.7,21.8,,U,,,,,M,5520,,,,,,UV,BB    Cnc,
850252,KS    Vel,130.1890833,-54.6316111,8.67927222,UV,18,22,,U,,,,,,68271 68271,,,1998.908,,2MASS,,KS    Vel,
120081,BC    Cnc *,130.2791667,19.0286111,8.68527778,UV,16.8,20.9,,U,,,,,M,5520,,,,,,UV,BC    Cnc,
120083,BE    Cnc *,130.3416667,20.2116667,8.689444447,UV,16.6,21.6,,U,,,,,,3924,,,,,,UV,BE    Cnc,
120116,CP    Cnc *,130.8416667,19.2011111,8.72277778,UV,16.4,20.1,,p,,,,,,70013,,,,,,UV,CP    Cnc,
120164,EU    Cnc *,132.8631667,11.7826111,8.857544447,XM,20.4,21,,V,,,0.0871,,pec(e),71080 79229,,,,,GCVS,AM,EU    Cnc,
830319,PU    UMa *,135.266375,48.1532778,9.017758333,UG+EA,16.2,21.2,,*,53773.4875,,0.0778805,10,pec(UG),80030 80027,,,1954.18,,A2.0,,PU    UMa,
420406,V0406 Hya,136.478125,-5.6023056,9.098541667,NL,16.5,20.3,,V,,,,,,78123 USNO,,,1977.4,,B1.0,,V0406 Hya,
120286,MX    Cnc,138.8954583,8.23225,9.25969722,UG,17.7,23,,r,,,,,pec(UG),81130 81130,,0.000  0.000,2008.053,,Lit.,,MX    Cnc,
120071,AR    Cnc *,140.5315417,31.0540833,9.368769447,UG+E,15.3,21.3,,V,,,0.2146,,pec(UG)+M4-5.5,N0325 72085,,,1955.229,,A2.0,UG+E,AR    Cnc,
460221,HU    Leo,141.1852917,8.0308333,9.41235278,EA+AM,18.2,21.5,,V,54856.71933,,0.0911411,8,pec(e),80237 USNO,,,2000.143,,2MASS,,HU    Leo,
470053,YZ    LMi *,141.6614167,36.4006667,9.444094447,EA,19.2,20.2,19.3,g',53473.72539,,0.01966,2,pec(e),80320 USNO,,,1998.305,,GSC2.3,,YZ    LMi,
20100,BW    Ant *,142.334125,-31.3842222,9.488941667,XP,18.63,22.89,,V,,,,,,80321 80321,,,2002.336,,Lit.,X,BW    Ant,
850509,V0509 Vel *,154.4702083,-46.5686111,10.29801389,EW,19.85,20.54,20.33,V,,,0.276216,,,80329 80329,,,1999.24,,2MASS,,V0509 Vel,
850511,V0511 Vel *,154.6335417,-46.62575,10.30890278,EW,19.61,20.03,20,V,,,0.33248,,,80329 80329,,,1980.127,,A2.0,,V0511 Vel,
460228,IK    Leo *,155.4435417,23.8243611,10.36290278,UGSU,13.9,21,,V,,,,,pec(UG),80331 80331,,,1990.012,,GSC2.3,,IK    Leo,
170365,V0365 Car *,165.8165833,-58.4576389,11.05443889,NB,10.1,21.6,,B,32820,1948,,,pec(e),72118 72118,,,,,Lit.,N,V0365 Car,
830067,AN    UMa *,166.106875,45.0538333,11.07379167,E+XRM,14.9,20.2,,B,42891.397,,0.0797522,,pec(e+cont),09871 09472,,-0.062,2000,,NPM,,AN    UMa,
830106,CE    UMa *,169.0458333,29.3605556,11.26972222,UG,15.5,21,,p,,,,,,5940,,,,,,,CE    UMa,
560203,GU    Mus,171.612,-68.6756944,11.4408,XND+ELL,13.65,20.9,,B,,,,,,71102 71104,,,1991,,Lit.,,GU    Mus,
250215,HO    Com *,184.8791667,25.2225,12.32527778,UV,16.2,21,,p,,,,,,8397,,,,,,,HO    Com,
250219,HS    Com *,186.6,25.89,12.44,UV,15.5,21,,p,,,,,,8397,,,,,,,HS    Com,
250179,FP    Com *,186.8299583,27.6000833,12.45533055,UV,15.5,21,,p,,,,,,05378 2MASS,,-0.133,2000,,2MASS+pm,,FP    Com,
130198,GP    CVn *,186.9195833,51.6570556,12.46130555,UGSU+EA,14.5,21.4,,*,,,,,DA+M,81153 81153,,0.000  0.000,1953.29,,A20,,GP    CVn,
250183,FT    Com,187.6958333,29.3741667,12.51305555,RR,19.5,20.2,,p,,,,,,5378,,,,,,,FT    Com,
250184,FU    Com,187.7145417,27.1194167,12.51430278,UG,19.5,21,,p,,,,,,05378 USNO,,,1950.276,,A2.0,,FU    Com,
250192,GI    Com,188.402125,28.1114722,12.56014167,UV,14.1,20.5,,p,,,,,,06337 06337,,,1950.276,,A2.0,,GI    Com,
250186,FW    Com,190.8125,28.2930556,12.72083333,RR,19,20.2,,p,,,,,,5378,,,,,,,FW    Com,
250187,FX    Com,191.1125,29.66,12.74083333,RR,19.7,20.5,,p,,,,,,5378,,,,,,,FX    Com,
250188,FY    Com,192.3166667,27.4227778,12.82111111,UG,19.5,21,,p,,,,,,5378,,,,?,Lit.,,FY    Com,
340309,OV    Dra *,192.599375,66.92375,12.83995833,EA,19,20.7,,*,53407.55966,,0.0587357,6,pec(e),80030 USNO,,-0.026  0.001,2000,,SDSS,,OV    Dra,
