id	other_designation	detection_list_id	ra_psf	dec_psf	observation_status	sherlockClassification
1101454520042056700	NULL	2	153.727204445519	-4.349110455061828	NULL	SN
1101027680031931500	NULL	2	152.61534858979658	-3.325435660716613	NULL	SN
1105132930021500500	NULL	2	162.88720935897663	-2.250147443050932	NULL	SN
1131825680152108800	NULL	2	199.60700256950344	-15.352462282578495	NULL	ORPHAN
1135342510130712800	NULL	2	208.42713851921857	-13.120234000907091	NULL	SN
1133653260095359600	NULL	2	204.2219568793339	-9.899894857589997	NULL	SN
1134835990111129700	NULL	2	207.14996754306844	-11.191604621809011	NULL	SN
1132423820095129300	NULL	2	201.09928678350622	-9.858149626001318	NULL	ORPHAN
1142012800083812700	NULL	2	215.0533578451821	-8.636884798374519	NULL	ORPHAN
1145324740081721200	NULL	2	223.353106522155	-8.289240749931363		ORPHAN
1141701300053854400	NULL	2	214.25544496498512	-5.6484675417979995	NULL	SN
1144039640053946800	NULL	2	220.1651832234046	-5.663013295070098		ORPHAN
1144453010062636300	NULL	2	221.22087741139603	-6.443444228726127		SN
1141909240024343600	NULL	2	214.78852722463554	-2.7288030851236154	NULL	SN
1150016490062241000	NULL	2	225.06872007272105	-6.378067689374793		SN
1143337650022451900	NULL	2	218.40687671193288	-2.4144248215560054		SN
1145719270014617200	NULL	2	224.33032273250595	-1.7714620427751453		SN
1144829321001700700	NULL	2	222.12219343648118	0.2835402376829551		SN
1142236521092101100	NULL	2	215.65219623348372	9.35032837792963	NULL	SN
1141440311150647400	NULL	2	213.66797407443565	15.113166923704096	NULL	SN
1144439351134856200	NULL	2	221.1639676339768	13.81561310210178		SN
1143454261121647300	NULL	2	218.7260833697801	12.279813959420125	NULL	SN
1144745271120606600	NULL	2	221.9386331348266	12.101853254310873	NULL	SN
1140126891143325400	NULL	2	210.36206025871732	14.557082235538552	NULL	SN
1181644051445555300	NULL	2	274.1835749645183	44.93204208519914	NULL	SN
1184303571482650700	NULL	2	280.7648929894173	48.44741676233135	NULL	SN
1184358061485149700	NULL	2	280.9919186958058	48.86382607333635	NULL	SN
1183649471490232100	NULL	2	279.2061630588812	49.04226976647568	NULL	SN
1180425261532801900	NULL	2	271.10526736435594	53.46719544016924	NULL	ORPHAN
1143011100210813000	NULL	2	217.5462753496178	-21.136961758590118		UNCLEAR
1130154790162836700	NULL	2	195.47830164124042	-16.476882145515827		SN
1144416960201957600	NULL	2	221.0707078715806	-20.332669691962668	NULL	ORPHAN
1143538410183200400	NULL	2	218.91007882686293	-18.53344529143079	NULL	SN
1080402141165218500	NULL	2	121.00892766702154	16.871824129667548	NULL	SN
1080320761230857500	NULL	2	120.83651165722057	23.149309314059842	NULL	SN
1124109460051200900	NULL	2	190.2894290722048	-5.2002532225191525	NULL	SN
1123410130025619900	NULL	2	188.542241198091	-2.93886481355986	NULL	NT
1122147540011758300	NULL	2	185.44810778604045	-1.2995384749746766	NULL	SN
1122025461000929600	NULL	2	185.10609807799568	0.15823089650298952	NULL	SN
1140722600004608900	NULL	2	211.84419213303534	-0.7691618910756407	NULL	SN
1143047511013938700	NULL	2	217.69798978875963	1.660755799932629	NULL	ORPHAN
1140637401020006300	NULL	2	211.65585462406258	2.0017741943773744		SN
1140117391074845600	NULL	2	210.32245935874	7.812683832898646	NULL	SN
1143218531034600000	NULL	2	218.07722816504992	3.7666765019288793	NULL	SN
1164815660060607300	NULL	2	252.06525945809256	-6.102041794123434	NULL	ORPHAN
1102557870084100400	NULL	2	156.49114140411123	-8.683459569701133	NULL	ORPHAN
1150609910065829200	NULL	2	226.5413228788333	-6.97480219463448	NULL	ORPHAN
1151606310044425100	NULL	2	229.02631490886083	-4.740315118075891	NULL	ORPHAN
1134418521010819100	NULL	2	206.07716685904012	1.138662509559179	NULL	NT
1153851440053413100	NULL	2	234.71434729293273	-5.570306712956935	NULL	ORPHAN
1101145350093712300	NULL	2	152.93895858597395	-9.620107992363343	NULL	SN
1101311711090949700	NULL	2	153.2988269543967	9.163822411949981	NULL	SN
1130450941010342800	NULL	2	196.21228617958417	1.061908101671238	NULL	ORPHAN
1150626270011040200	NULL	2	226.60946989185436	-1.1778550176889384	NULL	SN
1132536241033044000	NULL	2	201.4010323041514	3.512229038550168	NULL	SN
1134634681020713900	NULL	2	206.64452127914643	2.120534499150158	NULL	SN
1134609891021217200	NULL	2	206.54123085153108	2.2047799467107074	NULL	SN
1131657721015350900	NULL	2	199.24052160691437	1.897480781353444	NULL	SN
1135757391025650100	NULL	2	209.4891396829282	2.947259199559387	NULL	SN
1133407931085501800	NULL	2	203.53304365100522	8.917194373100175	NULL	SN
1134548961061103600	NULL	2	206.45402541070328	6.184348599474338	NULL	SN
1134217221053751700	NULL	2	205.57177014813303	5.63105078544561	NULL	SN
1104716811092149300	NULL	2	161.8200816310977	9.363713019661931	NULL	ORPHAN
1101640731170026800	NULL	2	154.16971292213512	17.007452226947212	NULL	SN
1100637891133933500	NULL	2	151.65788577991276	13.659326232644615	NULL	ORPHAN
1133802771054731600	NULL	2	204.51157826377622	5.792125209975173	NULL	ORPHAN
1104054291143202600	NULL	2	160.22623619703836	14.534068636669302	NULL	SN
1154020780022052800	NULL	2	235.08662186135098	-2.348019879984509	NULL	SN
1102907271155051500	NULL	2	157.28031414668598	15.847648855247089	NULL	SN
1131556231092753400	NULL	2	198.9843275099379	9.46483482941547	NULL	ORPHAN
1135414111072709000	NULL	2	208.55881055418692	7.452509807014044	NULL	SN
1103833811134452200	NULL	2	159.64088796681918	13.747849740313159	NULL	SN
1132239081100122400	NULL	2	200.66286525271624	10.022912355987017	NULL	SN
1102718381104145200	NULL	2	156.82660308910954	10.69590476475307	NULL	SN
1130648461015859100	NULL	2	196.70193214656905	1.9830996490452322	NULL	SN
1132031531112250000	NULL	2	200.13141551766148	11.380563247643389	NULL	ORPHAN
1132449891104630500	NULL	2	201.2079030914866	10.775163205378933	NULL	SN
1105134391142348700	NULL	2	162.89330140978856	14.396865133639555	NULL	SN
1132341681031757100	NULL	2	200.9236766392308	3.2991961659728335	NULL	NT
1103807011143512600	NULL	2	159.52921261159295	14.586842402271243	NULL	ORPHAN
1105725331125344700	NULL	2	164.35555681613042	12.895757186536295	NULL	SN
1101012641145758400	NULL	2	152.5526697951439	14.96622906899328	NULL	SN
1133615501091603700	NULL	2	204.06459625539821	9.267709100784527	NULL	SN
1101801721150712600	NULL	2	154.5071695819491	15.120169968987419	NULL	SN
1133243651102615000	NULL	2	203.18189012631285	10.437506368792054	NULL	ORPHAN
1105104801134836400	NULL	2	162.77001791883666	13.810119905737206	NULL	SN
1114639490195410600	NULL	2	176.66457751773882	-19.902962407776485	NULL	ORPHAN
1114952530190655400	NULL	2	177.46888683266997	-19.115391500664874	NULL	SN
1114205410162741800	NULL	2	175.52254822063983	-16.46161829654452	NULL	SN
1150111051020554800	NULL	2	225.29605815657874	2.098581352937867	NULL	SN
1154252321032945000	NULL	2	235.71800294123935	3.495850559911749	NULL	SN
1164751051024507800	NULL	2	251.96271455861756	2.7521803089673407	NULL	SN
1152026241073528600	NULL	2	230.10935099212656	7.591299409177863	NULL	SN
1164730871003447300	NULL	2	251.87865044933946	0.5798082764725343	NULL	SN
1164511121063719600	NULL	2	251.2963412377035	6.622134989602519	NULL	SN
1100420451174416400	NULL	2	151.08522038252565	17.737914821578887	NULL	SN
1101002481173916800	NULL	2	152.51036549721636	17.654670341934615	NULL	SN
1104850021160225300	NULL	2	162.20844016517952	16.040386907531076	NULL	SN
1105500821181835000	NULL	2	163.75345618982533	18.30974803940283	NULL	SN
1152534500203349100	NULL	2	231.39377002054354	-20.563640530996125	NULL	ORPHAN
1142736990142503100	NULL	2	216.9041272481919	-14.417529731716206	NULL	SN
1142858890130205600	NULL	2	217.2453992428023	-13.034898266279194	NULL	ORPHAN
1140732250094334700	NULL	2	211.884398485654	-9.726318716686356	NULL	UNCLEAR
1152058121105541000	NULL	2	230.24219540248563	10.928081513529229		SN
1154855861105237900	NULL	2	237.23275091312425	10.877197585535509		SN
1161148060003401400	NULL	2	242.95028718059942	-0.5670670267350983		SN
1155933561014544700	NULL	2	239.88985102809323	1.7624265372173695		SN
1125508431391202300	NULL	2	193.78514211705794	39.200640561904386		SN
1144531830311741200	NULL	2	221.38264111704513	-31.294787864504002		ORPHAN
1140519860273101300	NULL	2	211.33275781806628	-27.517037146709978		SN
1163142720065737000	NULL	2	247.9280292885459	-6.960291681740438		SN
1163829170012314700	NULL	2	249.62156073134219	-1.3874303406365847	NULL	NT
1160517730020748100	NULL	2	241.3239103630252	-2.1300494891255215		SN
1150306871065159800	NULL	2	225.77866414949142	6.86661864784708		SN
1151224091055950700	NULL	2	228.10037510932403	5.997444150570652	NULL	ORPHAN
1151323421072618600	NULL	2	228.3476105750339	7.438516623832576		SN
1115113191432942900	NULL	2	177.8049748276225	43.49527224863866		SN
1114006201485756300	NULL	2	175.02584754154574	48.965663548608724		SN
1120335001485808200	NULL	2	180.89585515472612	48.96895765015524		NT
1115837501573000600	NULL	2	179.6562870655098	57.500171129936675		NT
1120342771554846200	NULL	2	180.92823985599753	55.812845357350284	NULL	SN
1193419380211354200	NULL	2	293.5807534208301	-21.23172626715062		ORPHAN
1152626991085149900	NULL	2	231.61249481522572	8.86386784094022		SN
1150258911290744300	NULL	2	225.74549795629167	29.12897868644507	NULL	SN
1154630281272604400	NULL	2	236.62618984908548	27.434575987465788		SN
1150909521324454600	NULL	2	227.28966939216033	32.748509191376705		SN
1152318561321206000	NULL	2	230.8273489436363	32.201666803875106	NULL	SN
1171615710290228400	NULL	2	259.0654595124155	-29.041247242150348		SN
1101033871361632200	NULL	2	152.64115379855966	36.27563357129583	NULL	SN
1102630491420240700	NULL	2	156.62706349617935	42.04466043308242		SN
1103704141413724700	NULL	2	159.26726106397007	41.62355366062666		SN
1132903481443918400	NULL	2	202.2645271052121	44.65512333525216	NULL	UNCLEAR
1130337151550611000	NULL	2	195.90480852118864	55.103072005098305		SN
1135925411622213200	NULL	2	209.8559045602259	62.370334277494855		SN
1141644691675928900	NULL	2	214.18622762724573	67.99136503514157	NULL	ORPHAN
1145659271682115000	NULL	2	224.24698998653702	68.35418433916516		ORPHAN
1144526871695146200	NULL	2	221.36199276185084	69.86283711696107	NULL	ORPHAN
1145648591762950600	NULL	2	224.20248144041938	76.4974025707756		SN
1111902481272717800	NULL	2	169.7603626453564	27.454969090952993	NULL	SN
1112535641321918200	NULL	2	171.39853519796435	32.32173002223973		SN
1193145320315613200	NULL	2	292.93887295843865	-31.937015552053012	NULL	SN
1210728461082630900	NULL	2	316.86859065371266	8.441924492100686	NULL	SN
1212027091134709100	NULL	2	320.1128938821094	13.78587298509438	NULL	SN
1210930361121805600	NULL	2	317.376528835474	12.30158062567367		SN
1114605431163453500	NULL	2	176.5226362104665	16.581539589407218		SN
1114344571252729100	NULL	2	175.93573133174547	25.458102482003312	NULL	SN
1170826601253051000	NULL	2	257.1108394581696	25.514181608664977		SN
1170003281323002800	NULL	2	255.0137000234436	32.500803876589	NULL	SN
1112420210082039900	NULL	2	171.08424592971343	-8.344430576870705	NULL	SN
1122438851075447800	NULL	2	186.16189946260783	7.913286305559327	NULL	SN
1090312101100903100	NULL	2	135.8004502215263	10.150885773766138	NULL	SN
1090111711082542900	NULL	2	135.29879974130552	8.428596492294012		SN
1121404731081602300	NULL	2	183.51972855480642	8.267322438762001	NULL	SN
1125211971085222100	NULL	2	193.04990059632445	8.872829511039637	NULL	SN
1201239671121800700	NULL	2	303.1653275338509	12.300197753185282	NULL	VS
1085823411134602400	NULL	2	134.59754505355204	13.767347653960815	NULL	SN
1115858741125035400	NULL	2	179.74477164967573	12.84319354127394	NULL	SN
1203837751155522000	NULL	2	309.65732257555266	15.922796062822117	NULL	SN
1124124971131346900	NULL	2	190.35405526054006	13.229703525955149		SN
1074458641334600400	NULL	2	116.24433870341666	33.76678116247612	NULL	NT
1133912341612919500	NULL	2	204.8014448687071	61.48875645908079	NULL	SN
1160610831631812100	NULL	2	241.54512743077134	63.303362130291006	NULL	SN
1120941270162638800	NULL	2	182.42196818381296	-16.44411962394446	NULL	SN
1122511100151103500	NULL	2	186.29628837026175	-15.184309197353953	NULL	SN
1205241081000252900	NULL	2	313.1711700432693	0.04804727268435708	NULL	SN
1133327091052855800	NULL	2	203.3628936680913	5.4821690021189955	NULL	SN
1205739011051024900	NULL	2	314.4125733636812	5.173593558236238	NULL	ORPHAN
1141053021012210000	NULL	2	212.72093653345493	1.3694628313702446		NT
1143959861064749900	NULL	2	219.99942895822258	6.797220017095178		SN
1210043671195847100	NULL	2	315.18199415390933	19.979763867279424		SN
1210353811164413500	NULL	2	315.97420951140464	16.73710572369226		ORPHAN
1210624821211213300	NULL	2	316.60344322940574	21.203697096694746		ORPHAN
1111047061262230100	NULL	2	167.69609568889777	26.375032187139432		SN
1212655571200826400	NULL	2	321.73155628216233	20.14067516163052		SN
1112855751255140700	NULL	2	172.23230192142668	25.861319862644		NT
1132847601331111700	NULL	2	202.198343923295	33.186596172370585		SN
1162724621505035300	NULL	2	246.852603126375	50.84314557203251		SN
1161032191504143200	NULL	2	242.6341326014945	50.69535044880646		SN
1161457471555211600	NULL	2	243.73949374634847	55.86991053168728		SN
1164207781495422800	NULL	2	250.53242910302362	49.90634540121393		SN
1150341881091610600	NULL	2	225.92454081355893	9.269622729523139	NULL	SN
1153622961120737900	NULL	2	234.09566863343593	12.127195596662162	NULL	SN
1154027451121659400	NULL	2	235.11439481661168	12.283178071281435	NULL	SN
1161747461233625700	NULL	2	244.44776034863506	23.607153198512616	NULL	SN
1163111941211233600	NULL	2	247.79977336848094	21.20934762212856	NULL	SN
1190431291644840700	NULL	2	286.1303895016424	64.81132896695652	NULL	SN
1160200411350330600	NULL	2	240.50173917223628	35.05850774779969		SN
1165437341383124600	NULL	2	253.65561729975266	38.52350988115255		SN
1165837911391053100	NULL	2	254.65799162613612	39.18143125351858	NULL	ORPHAN
1161215551403641500	NULL	2	243.0648039658781	40.61154456676432	NULL	SN
1160905701045957500	NULL	2	242.2737595150041	4.99931584428491	NULL	SN
1140327871261738900	NULL	2	210.86614089958914	26.294154090948386		SN
1141058671273721300	NULL	2	212.74448254142897	27.62258382075282	NULL	SN
1143109231271409500	NULL	2	217.78848735473446	27.235976533179784		SN
1141044831293458400	NULL	2	212.6868213064903	29.582902008443263		SN
1145820081255407900	NULL	2	224.58370177319605	25.902219534402292		NT
1143417181291346100	NULL	2	218.57161941270027	29.229479404618885		SN
1143719731284017100	NULL	2	219.33224391653508	28.67143206005973	NULL	SN
1184224561273908500	NULL	2	280.6023423860611	27.652385904071632		ORPHAN
1141645341305006900	NULL	2	214.1889576592143	30.835267920466293		SN
1183438401291229900	NULL	2	278.66000400645623	29.20831753532774		ORPHAN
1142418261323740900	NULL	2	216.07610190880717	32.62805532722862		SN
1183543991321845900	NULL	2	278.9332960125667	32.312750313049094		ORPHAN
1165617171412318500	NULL	2	254.07157505236523	41.38848866355783	NULL	NT
1173555581705908700	NULL	2	263.9816102241204	70.98575830787762	NULL	SN
1172444631641132100	NULL	2	261.1859885335769	64.19227729925686		SN
1173934381800620700	NULL	2	264.8932758303862	80.10576511997186		SN
1173108091791230300	NULL	2	262.7837460481336	79.2084417977429	NULL	ORPHAN
1151923631181128700	NULL	2	229.84848174034272	18.19131815815495	NULL	ORPHAN
1155205191193022600	NULL	2	238.02164639367373	19.50630017065178	NULL	ORPHAN
1153424461200840900	NULL	2	233.60193653253486	20.144709156578852	NULL	SN
1150416341202702800	NULL	2	226.06811758534815	20.450789445869706	NULL	SN
1155555531242951700	NULL	2	238.98140432567862	24.497698508916887	NULL	SN
1154210431212627400	NULL	2	235.5434686606942	21.440946427125095	NULL	SN
1163612380141518500	NULL	2	249.05158537908264	-14.255166070612962		ORPHAN
1163624981085521200	NULL	2	249.10409455920862	8.922562583723664		SN
1161331541114628700	NULL	2	243.38141743148387	11.774640985579888		SN
1163926801111222100	NULL	2	249.8616751791008	11.206149692264537		SN
1155412321143623100	2016cpd	2	238.55136240800255	14.606436066814037		SN
1170230011103531000	NULL	2	255.6250554160342	10.591959903889856		SN
1155624611133909000	NULL	2	239.10257444150946	13.652511030805012		SN
1165336401131729700	NULL	2	253.40168465720876	13.291588688036985		SN
1162949801122612100	NULL	2	247.45751712190787	12.436695695637933		SN
1164825681142411900	NULL	2	252.1070021756826	14.403322770501944		UNCLEAR
1124253890261854500	NULL	2	190.72455849926942	-26.315156905863557	NULL	ORPHAN
