ID,RA,DEC,Label,Redshift,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS distance,SDSS ra,SDSS dec,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS obj,SDSS run,SDSS rerun,SDSS field,SDSS camcol
2052,210.46325,5.09403,SN,,,,,,,,,0,1,,23.4,,4/15/2001 0:00,,,1.24E+18,3,0.044066497,210.4625224,5.09391116,22.22922,21.17065,20.07103,19.66141,19.355,463,2247,301,331,5
2041,149.754,17.82011,SN,,,,,,,,,0,1,,16.8,,11/20/2001 0:00,,,1.24E+18,6,0.028991959,149.7535124,17.82024415,21.67157,21.53339,21.78399,21.86563,22.73372,102,5183,301,126,1
2040,36.96567,0.62247,SN,,,,,,,,,0,1,,19.5,,11/12/2001 0:00,,,1.24E+18,3,0.044995936,36.96515443,0.621925372,22.24832,21.57204,20.70946,20.76079,21.23249,890,4263,301,362,5
2019,318.18846,-0.87672,SN,,,,,,,,,0,1,,19.2,,10/15/2001 0:00,,,1.24E+18,3,0.084561956,318.1893709,-0.875644461,18.66445,17.26362,16.64178,16.3034,16.08372,671,4828,301,495,3
2017,144.48792,25.49481,SN,,,,,,,,,0,1,,16,,11/2/2001 0:00,,,1.24E+18,6,0.015686866,144.4876438,25.49488873,24.01575,22.46888,22.75253,23.47606,22.82689,99,5038,301,123,3
2008,48.27908,42.43753,SN,,,,,,,,,0,1,,17,,10/9/2001 0:00,,,1.24E+18,3,0.006180995,48.2789793,42.43745866,18.54201,16.61419,15.51977,14.97301,14.48134,380,3629,301,57,1
2006,39.495,-1.02781,SN,,,,,,,,,0,1,,19.4,,9/21/2001 0:00,,,1.24E+18,3,0.028994627,39.49538462,-1.027517358,20.6763,18.92487,17.8411,17.23029,16.80768,147,2820,301,130,1
2003,148.33608,42.84578,SN,,,,,,,,,0,1,,17.2,,10/4/2001 0:00,,,1.24E+18,3,0.082942809,148.335884,42.84715489,16.61984,15.47968,14.96127,14.54972,14.26269,181,2887,301,258,2
2001,74.25108,-4.76117,SN,,,,,,,,,0,1,,17.1,,10/3/2001 0:00,,,1.24E+18,6,0.048421059,74.25157248,-4.76052937,24.71432,23.63255,21.9846,22.35829,21.05712,210,7178,301,40,2
1999,21.34542,34.02514,SN,,,,,,,,,0,1,,17.5,,9/26/2001 0:00,,,1.24E+18,3,0.12108994,21.34308898,34.02572366,16.48536,14.88487,14.1584,13.88497,13.57639,43,4829,301,169,2
1989,27.96283,6.29094,SN,,,,,,,,,0,1,,14.9,,9/2/2001 0:00,,,1.24E+18,3,0.014174555,27.96306759,6.2909336,17.44911,17.21747,24.80204,24.36181,22.82691,21,5714,301,60,2
1988,33.00179,31.5455,SN,,,,,,,,,0,1,,17.8,,8/31/2001 0:00,,,1.24E+18,3,0.122639204,33.00024799,31.54393447,16.90552,15.49098,14.75255,14.33708,14.0295,266,7761,301,200,3
1987,67.68792,0.87164,SN,,,,,,,,,0,1,,16.3,,8/29/2001 0:00,,,1.24E+18,6,0.056109456,67.68884684,0.871514745,23.29101,21.01955,20.3599,20.01554,20.20178,44,273,301,386,6
1975,248.79562,46.21403,SN,,,,,,,,,0,1,,18.8,,8/14/2001 0:00,,,1.24E+18,3,0.081711411,248.7950062,46.21532394,21.69333,20.72267,22.10569,24.3618,22.8269,23,2207,301,51,3
1974,178.43842,52.34911,SN,,,,,,,,,0,1,,14.5,,8/12/2001 0:00,,,1.24E+18,3,0.008891042,178.4382163,52.34919044,17.62902,19.31858,13.85557,15.48208,12.94816,70,2830,301,393,4
1970,320.25721,9.18067,SN,,,,,,,,,0,1,,17.1,,7/30/2001 0:00,,,1.24E+18,6,0.095105535,320.2564418,9.179278112,22.65136,22.37273,21.51332,21.85639,20.95838,456,7773,301,49,4
1962,307.72533,-0.65747,SN,,,,,,,,,0,1,,17,,7/13/2001 0:00,,,1.24E+18,6,0.01535278,307.7253122,-0.657725259,21.93748,19.77888,18.93096,19.2067,19.71621,727,2583,301,32,2
1959,358.38658,8.11739,SN,,,,,,,,,0,1,,16.5,,7/9/2001 0:00,,,1.24E+18,6,0.047865347,358.3863452,8.118153137,22.67588,22.80175,24.73655,24.3618,22.8269,86,5636,301,111,5
1954,230.77629,29.65886,SN,,,,,,,,,0,1,,24.3,,5/20/2001 0:00,,,1.24E+18,3,0.057249517,230.7757146,29.65967267,23.69929,24.31155,21.9568,20.93206,20.42551,1383,4002,301,149,2
1953,201.39517,27.61739,SN,,,,,,,,,0,1,,24.1,,5/20/2001 0:00,,,1.24E+18,3,0.10268808,201.3938495,27.61863902,24.30884,23.33504,22.32273,21.68092,21.35862,762,5115,301,188,6
1952,201.38637,27.69289,SN,,,,,,,,,0,1,,23.7,,5/20/2001 0:00,,,1.24E+18,3,0.118607422,201.386892,27.69481199,24.21467,24.89953,22.86774,22.06795,21.48793,881,5115,301,188,6
1950,201.32217,27.22339,SN,,,,,,,,,0,1,,23.5,,5/20/2001 0:00,,,1.24E+18,3,0.008768739,201.3220253,27.22345933,21.68618,21.07094,20.12358,19.76982,19.61188,503,5115,301,188,5
1949,201.09462,27.57608,SN,,,,,,,,,0,1,,23.8,,5/20/2001 0:00,,,1.24E+18,3,0.107706566,201.0937037,27.57447914,23.71833,22.44345,21.6923,21.25949,21.39892,314,5087,301,311,6
1948,241.32792,43.19503,SN,,,,,,,,,0,1,,22.8,,5/19/2001 0:00,,,1.24E+18,6,0.228326207,241.3279075,43.19883543,19.3273,18.369,18.06546,17.95226,17.92513,222,3225,301,200,2
1942,219.45867,30.48394,SN,,,,,,,,,0,1,,17.2,,6/3/2001 0:00,,,1.24E+18,3,0.092757103,219.4602599,30.483224,16.72259,15.68862,15.18397,14.87043,14.65405,44,4576,301,643,5
1941,200.43687,31.24683,SN,,,,,,,,,0,1,,15.9,,5/30/2001 0:00,,,1.24E+18,3,0.143261766,200.4396149,31.24638951,25.22172,23.63722,23.28906,22.76851,23.62658,103,4623,301,259,3
1938,193.92029,27.25108,SN,,,,,,,,,0,1,,17.8,,5/28/2001 0:00,,,1.24E+18,3,0.096724118,193.9220684,27.25076513,16.33873,14.46878,13.6277,13.20175,12.93136,3,5087,301,269,4
1920,240.53854,36.71889,SN,,,,,,,,,0,1,,17.5,,5/15/2001 0:00,,,1.24E+18,3,0.117528893,240.5371465,36.72049912,18.88379,17.73641,17.20059,16.8492,16.64771,318,3918,301,282,4
1903,248.61546,76.02967,SN,,,,,,,,,0,1,,17.1,,4/27/2001 0:00,,,1.24E+18,3,0.070382525,248.620313,76.02972796,17.18014,15.36069,14.4686,14.002,13.67691,198,4134,301,26,1
1902,216.57083,26.24883,SN,,,,,,,,,0,1,,16.9,,4/18/2001 0:00,,,1.24E+18,6,0.070226849,216.571565,26.24786287,23.46698,22.74967,22.90811,21.99858,22.82689,29,4649,301,213,4
1889,236.21558,36.12472,SN,,,,,,,,,0,1,,21.1,,3/26/2001 0:00,,,1.24E+18,3,0.148579341,236.2136122,36.12661889,26.5155,23.4666,21.35118,20.18824,19.101,1256,3965,301,46,2
2179,179.35387,25.2025,SN,,,,,,,,,0,1,,16,,2/19/2001 0:00,,,1.24E+18,6,0.121089175,179.3517343,25.20308215,22.87002,22.14901,21.80231,22.88454,22.60143,36,5116,301,68,4
2178,211.17892,-9.70825,SN,,,,,,,,,0,1,,17.7,,2/15/2001 0:00,,,1.24E+18,3,0.117097645,211.180644,-9.707290298,17.23245,16.13053,15.67926,15.44379,15.2313,209,6174,301,175,5
2173,178.33983,20.74814,SN,,,,,,,,,0,1,,17.5,,1/31/2001 0:00,,,1.24E+18,6,0.102176634,178.339371,20.74978796,22.12576,21.72921,21.91741,24.3618,22.82689,134,5313,301,125,6
2171,159.992,24.09056,SN,,,,,,,,,0,1,,16.3,,1/21/2001 0:00,,,1.24E+18,3,0.053055945,159.9913823,24.09124112,15.38861,13.59861,12.81912,12.43206,12.16861,17,5140,301,61,6
2039,137.38825,50.28092,SN,,,,,,,,,0,1,,16.1,,1/8/2001 0:00,,,1.24E+18,3,0.013520146,137.3884147,50.28072074,18.26952,16.86094,15.84192,15.97855,15.79562,96,2137,301,254,5
2012,199.33354,20.63606,SN,,,,,,,,,0,1,,16.5,,1/6/2001 0:00,,,1.24E+18,6,0.090108402,199.3346565,20.63498124,22.24207,21.84994,22.56743,24.3618,22.8269,86,5308,301,51,6
1877,184.84587,5.82792,SN,,,,,,,,,0,1,,18.9,,1/1/2001 0:00,,,1.24E+18,6,0.007023345,184.8457543,5.827898603,21.88587,19.18768,20.47969,19.93754,22.20031,47,2126,301,438,5
1857,263.12083,56.06778,SN,,,,,,,,,0,1,,20.4,,10/1/2000 0:00,,,1.24E+18,3,0.129389609,263.124544,56.0683736,22.65945,21.79311,20.90838,20.75032,20.62152,1063,2574,301,65,3
1846,210.49062,4.72844,SN,,,,,,,,,0,1,,24.5,,4/30/2000 0:00,,,1.24E+18,6,0.043439635,210.4904554,4.72773484,24.81775,23.05568,22.64666,22.98622,21.90288,593,2190,301,190,4
